rank,priority,score,lv3,lv4,count
1,P2,18,특수영양식품,체중조절용 조제식품,748
2,P2,16,조미식품,기타 소스류,6778
3,P2,16,조미식품,복합조미식품,724
4,P2,16,조미식품,드레싱,419
5,P2,16,조미식품,분말스프,140
6,P2,16,조미식품,마요네즈,112
7,P2,16,조미식품,토마토케첩,83
8,P2,16,즉석식품류,체중조절용 즉석식품,2
9,P3,15,음료류,두유,571
10,P3,14,음료류,액상음료,5237
11,P3,14,음료류,과·채주스,5158
12,P3,14,음료류,액상차,4035
13,P3,14,음료류,농축음료/베이스,2919
14,P3,14,음료류,과·채음료,2565
15,P3,14,음료류,액상커피,2378
16,P3,14,즉석식품류,도시락,2321
17,P3,14,즉석식품류,죽,2155
18,P3,14,즉석식품류,샐러드,2022
19,P3,14,장류,간장,599
20,P3,14,즉석식품류,시리얼바/에너지바/영양바,11
21,P3,13,식육가공품 및 포장육,식육간편조리,1292
22,P3,12,유가공품류,치즈,2477
23,P3,12,유가공품류,농후발효유,1368
24,P3,12,유가공품류,가공우유,730
25,P3,12,유가공품류,발효유,501
26,P3,12,유가공품류,우유,353
27,P3,12,유가공품류,유당분해우유,63
28,P4,10,특수영양식품,영·유아용 이유식,3260
29,P4,10,특수영양식품,성장기용 조제식,65
30,P4,10,특수영양식품,조제유류,36
31,P4,10,특수영양식품,영아용 조제식,7
32,P4,10,특수영양식품,고령자용 영양조제식품,4
33,P4,10,특수영양식품,임산·수유부용 식품,1
34,P4,9,음료류,원두/원두분말,1279
35,P4,9,음료류,인삼/홍삼음료,822
36,P4,9,음료류,발효음료,661
37,P4,9,음료류,고형차,542
38,P4,9,음료류,인스턴트커피,444
39,P4,9,음료류,유산균음료,279
40,P4,9,음료류,탄산수,167
41,P4,9,음료류,침출차,42
42,P4,9,음료류,효모음료,34
43,P4,8,즉석식품류,밥류,6082
44,P4,8,즉석식품류,국/탕류,3648
45,P4,8,즉석식품류,주먹밥/김밥/초밥,3080
46,P4,8,즉석식품류,만두,2959
47,P4,8,즉석식품류,반찬,2589
48,P4,8,즉석식품류,샌드위치,2391
49,P4,8,즉석식품류,즉석 면요리,1699
