rank,priority,priority_score,lv3,lv4,count,ratio_percent
1,P1,386,특수영양식품,체중조절용 조제식품,726,0.344
2,P1,249,조미식품,기타 소스류,6310,2.987
3,P1,242,특수영양식품,고령자용 영양조제식품,4,0.002
4,P1,196,조미식품,복합조미식품,710,0.336
5,P1,189,조미식품,드레싱,382,0.181
6,P1,186,즉석식품류,소스/드레싱,286,0.135
7,P2,176,특수영양식품,영·유아용 이유식,3232,1.53
8,P2,171,즉석식품류,체중조절용 즉석식품,2,0.001
9,P2,147,즉석식품류,도시락,2214,1.048
10,P2,143,즉석식품류,샐러드,1851,0.876
11,P2,143,음료류,두유,557,0.264
12,P2,137,식용유지류,콩기름(대두유),296,0.14
13,P2,128,특수영양식품,성장기용 조제식,65,0.031
14,P2,126,특수영양식품,조제유류,36,0.017
15,P2,125,즉석식품류,밥류,5769,2.731
16,P2,122,특수영양식품,영아용 조제식,7,0.003
17,P2,121,특수영양식품,임산·수유부용 식품,1,0.0
18,P3,106,즉석식품류,국/탕류,3196,1.513
19,P3,102,즉석식품류,주먹밥/김밥/초밥,2794,1.323
20,P3,102,즉석식품류,만두,2786,1.319
21,P3,99,즉석식품류,반찬,2457,1.163
22,P3,98,유가공품류,치즈,2358,1.116
23,P3,96,즉석식품류,샌드위치,2173,1.029
24,P3,95,즉석식품류,죽,2025,0.959
25,P3,89,즉석식품류,즉석 면요리,1589,0.752
26,P3,86,유가공품류,농후발효유,1314,0.622
27,P3,85,농산가공식품류,견과류,1265,0.599
28,P3,83,면류,국수,1154,0.546
29,P3,82,즉석식품류,찌개/전골류,1080,0.511
30,P3,82,즉석식품류,기타 즉석식품,1033,0.489
31,P3,81,면류,라면,972,0.46
32,P3,80,면류,파스타,931,0.441
33,P3,78,즉석식품류,떡볶이,837,0.396
34,P3,77,면류,메밀국수/냉면국수,739,0.35
35,P3,76,즉석식품류,버거,701,0.332
36,P3,76,유가공품류,가공우유,695,0.329
37,P3,75,즉석식품류,순대,645,0.305
38,P3,74,즉석식품류,조림/찜,619,0.293
39,P3,73,식육가공품 및 포장육,양념육,5439,2.575
40,P3,73,즉석식품류,스프,532,0.252
41,P3,72,농산가공식품류,견과류 가공품,496,0.235
42,P3,71,유가공품류,발효유,482,0.228
43,P3,71,면류,기타면,467,0.221
44,P3,71,조미식품,식초,444,0.21
45,P3,70,음료류,액상음료,5035,2.383
46,P3,70,면류,우동면,437,0.207
47,P3,70,면류,당면,421,0.199
48,P3,69,면류,쌀국수,376,0.178
49,P3,69,면류,칼국수,371,0.176
50,P3,68,음료류,과·채주스,4734,2.241
51,P3,68,유가공품류,우유,339,0.16
52,P3,68,즉석식품류,미숫가루/선식,328,0.155
53,P3,68,즉석식품류,튀김,325,0.154
54,P3,67,즉석식품류,즉석 빵,300,0.142
55,P3,65,조미식품,향신료,237,0.112
56,P3,65,조미식품,카레,229,0.108
57,P3,65,즉석식품류,치킨,226,0.107
58,P3,64,면류,볶음/비빔라면,211,0.1
59,P3,64,즉석식품류,전,210,0.099
60,P3,62,음료류,액상차,3876,1.835
61,P3,62,즉석식품류,함박스테이크/미트볼,147,0.07
62,P3,61,조미식품,분말스프,140,0.066
63,P3,60,면류,쫄면,105,0.05
64,P3,60,조미식품,마요네즈,104,0.049
65,P4,59,면류,자장라면,99,0.047
66,P4,59,유가공품류,유함유가공품,99,0.047
67,P4,59,즉석식품류,육수,90,0.043
68,P4,58,알가공품류,알함유가공품,77,0.036
69,P4,58,조미식품,토마토케첩,73,0.035
70,P4,57,농산가공식품류,기타 농산가공품,3286,1.555
71,P4,57,유가공품류,유당분해우유,62,0.029
72,P4,57,즉석식품류,누룽지,59,0.028
73,P4,57,유가공품류,강화우유,55,0.026
74,P4,57,면류,라이스페이퍼,54,0.026
75,P4,57,즉석식품류,즉석 피자,50,0.024
76,P4,56,즉석식품류,만두피,37,0.018
77,P4,55,유가공품류,우유(멸균),28,0.013
78,P4,55,면류,기타 라면,27,0.013
79,P4,55,유가공품류,가공우유(멸균),27,0.013
80,P4,55,조미식품,고춧가루,27,0.013
81,P4,54,식육가공품 및 포장육,기타 식육가공품,2962,1.402
82,P4,54,유가공품류,유크림,22,0.01
83,P4,54,즉석식품류,기타 음료,20,0.009
84,P4,53,음료류,농축음료/베이스,2815,1.332
85,P4,53,유가공품류,분유,13,0.006
86,P4,53,유가공품류,전지/탈지분유,13,0.006
87,P4,53,유가공품류,버터,12,0.006
88,P4,53,즉석식품류,기타 시리얼,11,0.005
89,P4,53,즉석식품류,시리얼바/에너지바/영양바,11,0.005
90,P4,53,유가공품류,연유,9,0.004
91,P4,53,조미식품,소금,9,0.004
92,P4,52,유가공품류,크림발효유,7,0.003
93,P4,52,즉석식품류,감자튀김,5,0.002
94,P4,51,즉석식품류,성장기 즉석식품,1,0.0
95,P4,49,음료류,과·채음료,2425,1.148
96,P4,47,코코아가공품류 또는 초콜릿류,초콜릿,4516,2.138
97,P4,47,식육가공품 및 포장육,햄,2298,1.088
98,P4,47,음료류,액상커피,2276,1.077
99,P4,45,수산가공식품류,기타 수산가공품,2066,0.978
100,P4,44,잼류,잼,1991,0.942
101,P4,43,수산가공식품류,어묵,1917,0.907
102,P4,43,식육가공품 및 포장육,소시지,1873,0.887
103,P4,41,음료류,탄산음료,1742,0.825
104,P4,41,기타식품류,기타가공품,1738,0.823
105,P4,40,과자류·빵류 또는 떡류,기타 빵,7351,3.48
106,P4,40,농산가공식품류,채소가공품,1626,0.77
107,P4,39,당류,당류가공품,1578,0.747
108,P4,39,절임류 또는 조림류,절임식품,1577,0.746
109,P4,38,과자류·빵류 또는 떡류,일반과자,6238,2.953
110,P4,38,과자류·빵류 또는 떡류,비스킷/쿠키/크래커,6159,2.915
111,P4,37,농산가공식품류,과일가공품,1405,0.665
112,P4,36,수산가공식품류,김,1319,0.624
113,P4,35,식용유지류,올리브유,1269,0.601
114,P4,35,식육가공품 및 포장육,식육간편조리,1261,0.597
115,P4,35,음료류,원두/원두분말,1239,0.586
116,P4,35,면류,라면과자,28,0.013
117,P4,33,절임류 또는 조림류,배추김치,1090,0.516
118,P4,32,과자류·빵류 또는 떡류,케이크,5275,2.497
119,P4,32,절임류 또는 조림류,기타 조림,1057,0.5
120,P4,30,특수의료용도식품,환자용 식품,933,0.442
121,P4,28,식용유지류,향미유,811,0.384
122,P4,28,음료류,인삼/홍삼음료,790,0.374
123,P4,27,두부류 또는 묵류,두부,783,0.371
124,P4,27,농산가공식품류,서류가공품,746,0.353
125,P4,27,농산가공식품류,두류가공품,737,0.349
126,P4,25,음료류,발효음료,647,0.306
127,P4,24,수산가공식품류,조미건어포,587,0.278
128,P4,23,수산가공식품류,어육가공품,572,0.271
129,P4,23,장류,간장,569,0.269
130,P4,23,수산가공식품류,젓갈/액젓,544,0.258
131,P4,22,농산가공식품류,시리얼,526,0.249
132,P4,22,식용유지류,참기름,517,0.245
133,P4,22,음료류,고형차,514,0.243
134,P4,22,장류,혼합장,487,0.231
135,P4,21,절임류 또는 조림류,기타김치,471,0.223
136,P4,21,식용유지류,들기름,465,0.22
137,P4,21,수산가공식품류,원재료성 수산가공품,454,0.215
138,P4,21,장류,고추장,450,0.213
139,P4,20,과자류·빵류 또는 떡류,젤리,3680,1.742
140,P4,20,빙과류,아이스크림,1642,0.777
141,P4,20,음료류,인스턴트커피,434,0.205
142,P4,20,수산가공식품류,김자반,416,0.197
143,P4,20,절임류 또는 조림류,단무지/피클,403,0.191
144,P4,19,과자류·빵류 또는 떡류,떡,3571,1.69
145,P4,19,식용유지류,식물성유지,362,0.171
146,P4,18,절임류 또는 조림류,과·채당절임,358,0.169
147,P4,18,장류,된장,344,0.163
148,P4,18,식육가공품 및 포장육,육포,324,0.153
149,P4,17,코코아가공품류 또는 초콜릿류,초콜릿과자,3353,1.587
150,P4,17,당류,시럽,323,0.153
151,P4,17,알가공품류,달걀/메추리알,320,0.151
152,P4,16,음료류,유산균음료,277,0.131
153,P4,16,농산가공식품류,부침가루/튀김가루/믹스,267,0.126
154,P4,15,농산가공식품류,땅콩버터,253,0.12
155,P4,15,절임류 또는 조림류,장아찌,227,0.107
156,P4,14,과자류·빵류 또는 떡류,사탕,2932,1.388
157,P4,14,식용유지류,혼합식용유,209,0.099
158,P4,13,두부류 또는 묵류,묵,185,0.088
159,P4,12,빙과류,아이스밀크,1037,0.491
160,P4,12,농산가공식품류,밀가루,168,0.08
161,P4,12,음료류,탄산수,166,0.079
162,P4,12,수산가공식품류,참치,164,0.078
163,P4,12,두부류 또는 묵류,유부,145,0.069
164,P4,12,식육가공품 및 포장육,베이컨,145,0.069
165,P4,11,수산가공식품류,연어,139,0.066
166,P4,11,식용유지류,식물성크림,138,0.065
167,P4,11,식용유지류,해바라기씨유,131,0.062
168,P4,11,수산가공식품류,고등어,121,0.057
169,P4,10,두부류 또는 묵류,기타 두부 가공품,110,0.052
170,P4,9,식용유지류,유채씨유/카놀라유,95,0.045
171,P4,9,절임류 또는 조림류,물김치,82,0.039
172,P4,8,빙과류,빙과,824,0.39
173,P4,8,농산가공식품류,옥수수,78,0.037
174,P4,8,두부류 또는 묵류,기타 묵 가공품,78,0.037
175,P4,8,식용유지류,기타 식용유지,71,0.034
176,P4,8,동물성가공식품류,추출가공식품,64,0.03
177,P4,8,절임류 또는 조림류,김칫속,64,0.03
178,P4,7,농산가공식품류,건조과일(건과류),61,0.029
179,P4,7,식용유지류,마가린,60,0.028
180,P4,7,식용유지류,아보카도오일,59,0.028
181,P4,6,식용유지류,포도씨유,45,0.021
182,P4,6,음료류,침출차,42,0.02
183,P4,6,식용유지류,미강유(현미유),40,0.019
184,P4,6,당류,물엿,39,0.018
185,P4,6,농산가공식품류,빵가루,38,0.018
186,P4,6,장류,청국장,38,0.018
187,P4,6,장류,춘장,36,0.017
188,P4,5,음료류,효모음료,32,0.015
189,P4,5,농산가공식품류,냉동과일,29,0.014
190,P4,5,장류,메주,28,0.013
191,P4,5,식용유지류,옥수수기름(옥배유),26,0.012
192,P4,5,수산가공식품류,골뱅이,25,0.012
193,P4,5,식용유지류,쇼트닝,25,0.012
194,P4,4,당류,설탕,23,0.011
195,P4,4,수산가공식품류,꽁치,22,0.01
196,P4,4,식용유지류,땅콩기름(낙화생유),17,0.008
197,P4,4,장류,나토,17,0.008
198,P4,3,과자류·빵류 또는 떡류,스낵과자,1929,0.913
199,P4,3,식용유지류,팜유,12,0.006
200,P4,3,수산가공식품류,정어리,11,0.005
201,P4,3,식용유지류,고추씨기름,9,0.004
202,P4,2,식용유지류,모조치즈,8,0.004
203,P4,2,식용유지류,홍화유,8,0.004
204,P4,2,동물성가공식품류,식용곤충,7,0.003
205,P4,2,식용유지류,어유,6,0.003
206,P4,2,당류,덩어리엿,5,0.002
207,P4,2,동물성가공식품류,곤충가공식품,5,0.002
208,P4,2,주류,맥주,5,0.002
209,P4,2,식용유지류,식용돈지,4,0.002
210,P4,2,주류,과실주,4,0.002
211,P4,1,코코아가공품류 또는 초콜릿류,기타 코코아가공품,473,0.224
212,P4,1,빙과류,샤베트,449,0.213
213,P4,1,벌꿀 및 화분가공 식품류,로열젤리제품,3,0.001
214,P4,1,주류,소주,3,0.001
215,P4,1,주류,증류주,2,0.001
216,P4,1,농산가공식품류,호박씨분말,1,0.0
217,P4,1,식용유지류,홍화씨유,1,0.0
218,P4,1,주류,고량주,1,0.0
219,P4,1,주류,리큐르,1,0.0
220,P4,1,주류,막걸리,1,0.0
221,P4,1,주류,위스키,1,0.0
222,P4,1,주류,청주,1,0.0
223,P4,-2,과자류·빵류 또는 떡류,기타 사탕,1516,0.718
